CODE sbName
2012.1.00498.S Multi-sourcef32_343_12m_C32-345
2012.1.00498.S Multi-sourcef46_343_12m_C32-345
2012.1.00498.S Multi-sourcef61_343_12m_C32-345
2012.1.00498.S Multi-sourcef24_343_12m_C32-345
2012.1.00498.S Multi-sourcef39_343_12m_C32-345
2012.1.00498.S Multi-sourcef54_343_12m_C32-345
2012.1.00498.S Multi-sourcef68_343_12m_C32-345
2012.1.00596.S SDSS_J100038.01+020822.4_673_12m_C32-3
2012.1.00596.S RX_J094144_QSO_675_12m_C32-3
2012.1.00596.S SDP_11_682_12m_C32-3
2012.1.00596.S RX_J094144_SMG_675_12m_C32-3
2012.1.00604.S Multi-sourceJ1007+0532_613_12m_C32-1
2013.1.00095.S ID001_a_07_TE
2013.1.00095.S ID051_a_07_TE
2013.1.00095.S ID101_a_07_TE
2013.1.00095.S ID151_a_07_TE
2013.1.00105.S IRAS_041_a_06_TE
2013.1.00105.S IRAS_041_b_06_TE
2013.1.00430.S RCSGA032_a_09_TE
2013.1.00470.S ALESS_49_a_08_TE
2013.1.00470.S ALESS_67_a_09_TE
2013.1.00576.S W0236+05_a_08_TE
2013.1.00576.S W0410-09_a_08_TE
2013.1.00576.S W0831+01_a_08_TE
2013.1.00749.S G09H40_a_09_TE
2013.1.01051.S ACTJ0438_a_07_TE
2013.1.01051.S ACTJ0546_a_07_TE
