,SB_UID,SG_ID_y,OBSPROJECT_UID_y
0,uid://A001/X12a/X16a1,uid://A001/X113/X1a1_2,uid://A001/X113/X1a1
1,uid://A001/X12a/X169f,uid://A001/X113/X1a1_2,uid://A001/X113/X1a1
2,uid://A001/X12a/X16a0,uid://A001/X113/X1a1_2,uid://A001/X113/X1a1
3,uid://A001/X12a/X1a5e,uid://A001/X113/X62c_2,uid://A001/X113/X62c
4,uid://A001/X12a/X1a5f,uid://A001/X113/X62c_2,uid://A001/X113/X62c
5,uid://A001/X12a/X1a5d,uid://A001/X113/X62c_2,uid://A001/X113/X62c
6,uid://A001/X12a/X1a6a,uid://A001/X113/X62c_6,uid://A001/X113/X62c
7,uid://A001/X12a/X1a69,uid://A001/X113/X62c_6,uid://A001/X113/X62c
8,uid://A001/X12a/X1a6b,uid://A001/X113/X62c_6,uid://A001/X113/X62c
9,uid://A001/X12a/X7e6,uid://A001/X10e/X299_1,uid://A001/X10e/X299
10,uid://A001/X12a/X730,uid://A001/X110/X1df_2,uid://A001/X110/X1df
11,uid://A001/X12a/X9a5,uid://A001/X10f/X2f2_4,uid://A001/X10f/X2f2
12,uid://A001/X12a/X1334,uid://A001/X113/X276_1,uid://A001/X113/X276
13,uid://A001/X12a/X93c,uid://A001/X10d/Xd_2,uid://A001/X10d/Xd
14,uid://A001/X12a/X6b9,uid://A001/X110/X1b1_12,uid://A001/X110/X1b1
15,uid://A001/X12a/X1225,uid://A001/X106/X26_4,uid://A001/X106/X26
16,uid://A001/X12a/Xc8a,uid://A001/X10f/X3ad_1,uid://A001/X10f/X3ad
17,uid://A001/X12a/X7ef,uid://A001/X110/X22a_1,uid://A001/X110/X22a
18,uid://A001/X12a/X1832,uid://A001/X113/X1f9_5,uid://A001/X113/X1f9
19,uid://A001/X12a/X6b3,uid://A001/X110/X1b1_6,uid://A001/X110/X1b1
20,uid://A001/X12a/X1cda,uid://A001/X10e/X126_4,uid://A001/X10e/X126
21,uid://A001/X12a/X45,uid://A001/X10b/X41_1,uid://A001/X10b/X41
22,uid://A001/X12a/X43,uid://A001/X10b/X41_1,uid://A001/X10b/X41
23,uid://A001/X12a/X44,uid://A001/X10b/X41_1,uid://A001/X10b/X41
24,uid://A001/X12a/X659,uid://A001/X10f/X232_2,uid://A001/X10f/X232
25,uid://A001/X12a/X15a7,uid://A001/X10b/X9b_2,uid://A001/X10b/X9b
26,uid://A001/X12a/X2f8,uid://A001/X110/X13f_1,uid://A001/X110/X13f
27,uid://A001/X12a/X2f7,uid://A001/X110/X13f_1,uid://A001/X110/X13f
28,uid://A001/X12a/X2f6,uid://A001/X110/X13f_1,uid://A001/X110/X13f
29,uid://A001/X12a/X2f9,uid://A001/X110/X13f_1,uid://A001/X110/X13f
30,uid://A001/X12a/Xb3d,uid://A001/X10f/X6d9_1,uid://A001/X10f/X6d9
31,uid://A001/X12a/X1b72,uid://A001/X10f/X93_2,uid://A001/X10f/X93
32,uid://A001/X12a/X1b71,uid://A001/X10f/X93_2,uid://A001/X10f/X93
33,uid://A001/X12a/X1b73,uid://A001/X10f/X93_2,uid://A001/X10f/X93
34,uid://A001/X12a/Xcbf,uid://A001/X10e/X7a1_2,uid://A001/X10e/X7a1
35,uid://A001/X12a/X19c8,uid://A001/X113/X56c_3,uid://A001/X113/X56c
36,uid://A001/X12a/X9a4,uid://A001/X10f/X2f2_3,uid://A001/X10f/X2f2
37,uid://A001/X12a/X1804,uid://A001/X10f/X789_1,uid://A001/X10f/X789
38,uid://A001/X12a/X1803,uid://A001/X10f/X789_1,uid://A001/X10f/X789
39,uid://A001/X12a/X1802,uid://A001/X10f/X789_1,uid://A001/X10f/X789
40,uid://A001/X12a/X11f9,uid://A001/X113/Xd5_3,uid://A001/X113/Xd5
41,uid://A001/X12a/X156a,uid://A001/X113/X12c_2,uid://A001/X113/X12c
42,uid://A001/X12a/X69c,uid://A001/X10b/Xec_4,uid://A001/X10b/Xec
43,uid://A001/X12a/X1a67,uid://A001/X113/X62c_5,uid://A001/X113/X62c
44,uid://A001/X12a/X1a66,uid://A001/X113/X62c_5,uid://A001/X113/X62c
45,uid://A001/X12a/X1a68,uid://A001/X113/X62c_5,uid://A001/X113/X62c
46,uid://A001/X12a/X6c1,uid://A001/X110/X1bf_2,uid://A001/X110/X1bf
47,uid://A001/X12a/X1fc,uid://A001/X10f/X1c4_1,uid://A001/X10f/X1c4
48,uid://A001/X12a/X1fb,uid://A001/X10f/X1c4_1,uid://A001/X10f/X1c4
49,uid://A001/X12a/X1fd,uid://A001/X10f/X1c4_1,uid://A001/X10f/X1c4
50,uid://A001/X12a/X600,uid://A001/X10f/X6a0_1,uid://A001/X10f/X6a0
51,uid://A001/X12a/X17c3,uid://A001/X10f/X76f_1,uid://A001/X10f/X76f
52,uid://A001/X12a/X5e2,uid://A001/X10f/X21d_1,uid://A001/X10f/X21d
55,uid://A001/X12a/X5e4,uid://A001/X10f/X21d_3,uid://A001/X10f/X21d
56,uid://A001/X12a/X3cd,uid://A001/X110/X17e_1,uid://A001/X110/X17e
57,uid://A001/X12a/Xbfa,uid://A001/X10f/X37f_2,uid://A001/X10f/X37f
58,uid://A001/X12a/Xd60,uid://A002/X74f48c/X1_4,uid://A002/X74f48c/X1
59,uid://A001/X12a/Xd5d,uid://A002/X74f48c/X1_4,uid://A002/X74f48c/X1
60,uid://A001/X12a/Xd5f,uid://A002/X74f48c/X1_4,uid://A002/X74f48c/X1
61,uid://A001/X12a/Xd5e,uid://A002/X74f48c/X1_4,uid://A002/X74f48c/X1
62,uid://A001/X12a/X1dc,uid://A001/X110/X89_2,uid://A001/X110/X89
63,uid://A001/X12a/X49,uid://A001/X10b/X47_1,uid://A001/X10b/X47
64,uid://A001/X12a/X5ce,uid://A001/X10e/X216_2,uid://A001/X10e/X216
65,uid://A001/X12a/X5cd,uid://A001/X10e/X216_2,uid://A001/X10e/X216
66,uid://A001/X12a/X166e,uid://A001/X112/X1ad_3,uid://A001/X112/X1ad
67,uid://A001/X12a/X166c,uid://A001/X112/X1ad_1,uid://A001/X112/X1ad
68,uid://A001/X12a/X7a9,uid://A001/X111/X1c8_2,uid://A001/X111/X1c8
71,uid://A001/X12a/X7a7,uid://A001/X111/X1c8_4,uid://A001/X111/X1c8
72,uid://A001/X12a/X1d0,uid://A001/X10f/X1b2_1,uid://A001/X10f/X1b2
73,uid://A001/X12a/X1d2,uid://A001/X10f/X1b2_1,uid://A001/X10f/X1b2
74,uid://A001/X12a/X1d1,uid://A001/X10f/X1b2_1,uid://A001/X10f/X1b2
75,uid://A001/X12a/X1026,uid://A001/X112/X36_2,uid://A001/X112/X36
76,uid://A001/X12a/X1025,uid://A001/X112/X36_2,uid://A001/X112/X36
77,uid://A001/X12a/X1027,uid://A001/X112/X36_2,uid://A001/X112/X36
78,uid://A001/X12a/X3b2,uid://A001/X110/X171_1,uid://A001/X110/X171
79,uid://A001/X12a/Xd57,uid://A002/X74f48c/X1_1,uid://A002/X74f48c/X1
82,uid://A001/X12a/Xd5b,uid://A002/X74f48c/X1_3,uid://A002/X74f48c/X1
84,uid://A001/X12a/Xd5a,uid://A002/X74f48c/X1_3,uid://A002/X74f48c/X1
86,uid://A001/X12a/Xd5c,uid://A002/X74f48c/X1_3,uid://A002/X74f48c/X1
88,uid://A001/X12a/Xd59,uid://A002/X74f48c/X1_3,uid://A002/X74f48c/X1
89,uid://A001/X12a/X6b8,uid://A001/X110/X1b1_11,uid://A001/X110/X1b1
90,uid://A001/X12a/X166f,uid://A001/X112/X1ad_4,uid://A001/X112/X1ad
91,uid://A001/X12a/Xf37,uid://A001/X10c/Xd7_3,uid://A001/X10c/Xd7
92,uid://A001/X12a/Xf36,uid://A001/X10c/Xd7_3,uid://A001/X10c/Xd7
93,uid://A001/X12a/Xf35,uid://A001/X10c/Xd7_3,uid://A001/X10c/Xd7
94,uid://A001/X12a/X424,uid://A001/X112/X2b9_2,uid://A001/X112/X2b9
95,uid://A001/X12a/X5a9,uid://A001/X10f/X690_4,uid://A001/X10f/X690
96,uid://A001/X12a/X122e,uid://A001/X112/Xec_2,uid://A001/X112/Xec
97,uid://A001/X12a/X613,uid://A001/X111/Xb5_4,
98,uid://A001/X12a/X612,uid://A001/X111/Xb5_4,
99,uid://A001/X12a/X611,uid://A001/X111/Xb5_4,
100,uid://A001/X12a/X176e,uid://A001/X110/X81_5,uid://A001/X110/X81
101,uid://A001/X12a/X180c,uid://A001/X10f/X789_4,uid://A001/X10f/X789
102,uid://A001/X12a/X180b,uid://A001/X10f/X789_4,uid://A001/X10f/X789
103,uid://A001/X12a/X180d,uid://A001/X10f/X789_4,uid://A001/X10f/X789
104,uid://A001/X12a/Xeba,uid://A001/X10f/X486_3,uid://A001/X10f/X486
105,uid://A001/X12a/X832,uid://A001/X10f/X2a1_2,uid://A001/X10f/X2a1
106,uid://A001/X12a/Xe79,uid://A001/X10c/X78_2,uid://A001/X10c/X78
107,uid://A001/X12a/X56,uid://A001/X10f/X159_1,uid://A001/X10f/X159
108,uid://A001/X12a/X581,uid://A001/X112/X3f1_1,uid://A001/X112/X3f1
109,uid://A001/X12a/X119e,uid://A001/X10f/X908_1,uid://A001/X10f/X908
110,uid://A001/X12a/X193,uid://A001/X10c/X14c_1,uid://A001/X10c/X14c
111,uid://A001/X12a/X190,uid://A001/X10c/X14c_1,uid://A001/X10c/X14c
112,uid://A001/X12a/X191,uid://A001/X10c/X14c_1,uid://A001/X10c/X14c
113,uid://A001/X12a/X192,uid://A001/X10c/X14c_1,uid://A001/X10c/X14c
114,uid://A001/X12a/X19a2,uid://A001/X10b/X6f_4,uid://A001/X10b/X6f
115,uid://A001/X12a/X1254,uid://A001/X112/X414_4,uid://A001/X112/X414
116,uid://A001/X12a/X1bf5,uid://A001/X10e/X67_1,uid://A001/X10e/X67
119,uid://A001/X12a/X1bf4,uid://A001/X10e/X67_2,uid://A001/X10e/X67
120,uid://A001/X12a/X9bd,uid://A001/X10e/X33c_1,uid://A001/X10e/X33c
121,uid://A001/X12a/X122f,uid://A001/X112/Xec_3,uid://A001/X112/Xec
122,uid://A001/X12a/X9a3,uid://A001/X10f/X2f2_2,uid://A001/X10f/X2f2
123,uid://A001/X12a/X658,uid://A001/X10f/X232_1,uid://A001/X10f/X232
124,uid://A001/X12a/X1441,uid://A001/X10f/X555_1,uid://A001/X10f/X555
